Course Title	Restrictions	Prerequisites	Descriptions
ENGG*4070 Life Cycle Assessment for Sustainable  Design Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2100, ENGG*3240	This course will introduce students to the fundamental concepts related to interaction of industrial and environmental/ecological systems, sustainability challenges facing the current generation, and systems-based approaches required to create sustainable solutions for society. Students will understand the concepts and the scientific method as it applies to a systems-based, transdisciplinary approach to sustainability, and will be prepared to identify problems in sustainability and formulate appropriate solutions based on scientific research, applied science, social and economic issues. The basic concepts of life cycle assessment (LCA) will be discussed, along with life cycle inventory (LCI) and life cycle impact assessment (LCIA) including the social and economic dimensions. The application of life cycle assessment methodology using appropriate case studies will be presented.
ENGG*4080 Micro and Nano-Scale Electronics Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3450	The purpose of this course is to describe the operating principles of analog integrated micro and nano electronic circuits and to teach how to design and use such circuits systems. Course topics include: device and circuit fabrication in silicon and non-silicon based technologies; operation and layout of active and passive elements; analog and switched-capacitor filters; analog-to-digital and digital-toanalog converters; amplifiers; oscillators and circuits for radio-frequency and optical communications; readout channels for integrated sensors, and analog integrated circuits for mechatronics and bioengineering. The main emphasis is on device models, circuit operation, and design techniques.
ENGG*4090 Food and Beverage Engineering Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3070, ENGG*3510, MICR*1020	Students work in groups to design a system for manufacturing a specific food or beverage product. Choices are made about the specific processes to be used, the final packaging and marketing of the product. Attention is paid to the economics and efficiency of the overall production process.
ENGG*4110 Biological Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4110. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.BIOE core courses, ENGG*4000.	This is the capstone design course for the Biological Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to a problem in a biological system or process. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4120 Engineering Systems and Computing  Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4120. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.ESC core courses, ENGG*4000	This is the capstone design course for the Engineering Systems and Computing program. Teams normally of 3-4 students apply engineering analysis and design principles to a problem involving control system, computer hardware or computer software technology. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4130 Environmental Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4130. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.ENVE core courses, ENGG*4000.	This is the capstone design course for the Environmental Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to an environmental engineering problem. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4150 Water Resources Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4150. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.WRE core courses, ENGG*4000.	This is the capstone design course for the Water Resources Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to a problem involving water resources or wastewater engineering. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4160 Mechanical Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4160. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.MECH core courses, ENGG*4000.	This is the capstone design course for the Mechanical Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to a mechanical engineering problem. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4170 Computer Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4170. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.CENG core courses, ENGG*4000.	This is the capstone design course for the Computer Engineering program. Teams of normally 3-4 students apply engineering analysis and design principles to a computer engineering problem. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4180 Biomedical Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4180. Maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): All 1000 and 2000 level BENG.BME core courses, ENGG*4000.	This is the capstone design course for the Biomedical Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to a biomedical engineering problem. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4190 Mechatronics Engineering Design IV Fall and Winter (LEC: 2, LAB: 6) [1.00]	Restriction(s): Registration in the BENG program. Restricted to students with a maximum of 3.75 credits remaining in their BENG degree, including ENGG*4190. A maximum semester credit load of 3.25 credits. Students must have a minimum cumulative average of 60% or higher in ALL ENGG courses. Restriction waiver requests are handled by the Director, School of Engineering, or designate.	Prerequisite(s): 19.75 credits towards the BENG MTE major, all 1000 and 2000 level core courses, ENGG*4000.	This is the capstone design course for the Mechatronics Engineering program. Teams normally of 3-4 students apply engineering analysis and design principles to a mechatronics engineering problem. A completely specified solution at the level of preliminary or final design is required, including assessment of socio-economic and environmental impact. This is a small group design that requires reports and a poster presentation to a professional standard. Ethics and legal case studies relevant to professional engineering practice are presented during the lectures. Only students currently registered in ENGG*4000 will be permitted to select this course.
ENGG*4200 Wireless Sensor Networks Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3640	This course focuses on the fundamentals behind the design of wireless sensor networks. Topics include node architecture, operating systems, prototypes and applications for wireless sensor networks. The course emphasizes basic architectural framework including physical layer, medium access control layer and network layer. It also covers network management topics such as power management, time synchronization and localization. The course has a number of experiments with sensor network software and hardware. The primary focus of the experiments is to give students hands-on programming experience with various microcontrollers and sensing platforms.
ENGG*4210 Machine Learning Fall Only (LEC: 3) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to students in the BENG.MTE and BENG.MTE:C programs. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2910, STAT*2120	The aim of this course is to provide students with an introduction to algorithms and techniques of machine learning, particularly in engineering applications. The emphasis will be on the fundamentals, and not a specific approach or software tool. The course will cover and compare current popular approaches and their applicability to various engineering problems, and will provide hands-on experience with some of the tools.
ENGG*4220 Interdisciplinary Mechanical  Engineering Design Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3100	This is a general design course for students registered in the B. Eng. major in mechanical engineering who wish to develop a broad based mechanical engineering foundation. Students work in groups to develop a general mechanical engineering design. Special attention is paid to the sustainability of the design, its economic feasibility and overall efficiency.
ENGG*4230 Energy Conversion Fall Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3260	The course introduces the technical criteria for the design of efficient energy conversion processes and systems. It includes the review of boilers and cycles, fuel and combustion calculations, and fundamentals of both traditional and emerging energy conversion processes and systems for production of thermal, mechanical, and electrical energy. Topics include fossil, biomass and nuclear fuels, as well as wind, solar, geothermal energy and fuel cells. Mechanisms for storing energy generated from each of these are also studied. The course also explores conversion of automobile systems, renovation of old fossil fuel fired plant technology, co-firing of opportunity fuels, waste to energy technology, emissions, and economics of energy projects.
ENGG*4240 Site Remediation Fall Only (LEC: 3, LAB: 1) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	NONE	Remediation of contaminated sites is done to mitigate impacts to the environment and public health. The course will: review the applicable legislation; identify the important soil, water, air and chemical interactions; review the steps of an environmental risk assessment so that contaminated sites can be identified and evaluated to see if remediation is required; and evaluate and appraise various remediation technologies to complete the soil and groundwater remediation.
ENGG*4250 Watershed Systems Design Winter Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the WRE specialization in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2230, ENGG*3650	This course is a hydrological analysis of watershed systems including stream flow for design of structures and channels, flood warning, flood plain mapping and low-flow characteristics. Hydraulic analysis is applied to the design of dams, reservoirs, control structures, energy dissipation structures, bridges and culverts. An analysis of steady flow profiles, flood waves, and sediment transport is applied in the design of natural and constructed channels and protective works for rivers to achieve environmentally sustainable land use in watershed systems.
ENGG*4300 Food Processing Engineering Design Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): 1 of ENGG*3020, ENGG*3430, FOOD*3170	This course covers the design of various food processing operations and the physico-chemical and mechano-biological response of foods to such operations. Topics include: process evaluation; optimization of operations such as thermal and chemical processes; and rheological properties of various food forms.
ENGG*4340 Solid and Hazardous Waste Management Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the ENVE specialization in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): 1 of ENGG*2010, ENGG*2560, ENGG*2660	Solid waste generation rates and waste composition. Integrated waste management: collection, recovery, reuse, recycling, energy-from-waste, and landfilling. Biological treatment of the organic waste fraction - direct land application, composting, anaerobic digestion. Environmental impact of waste management and sustainable development. Cross media issues related to solid waste disposal. An introduction to hazardous waste management and treatment methods.
ENGG*4360 Soil-Water Conservation Systems Design Fall Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2230, ENGG*3650, ENGG*3670	Properties of soils and land use governing the occurrence and magnitude of overland flow, soil erosion, infiltration, percolation of soil water, and variations in soil water storage. Design of soil and water management systems and structures to control soil erosion and protect water quality for environmentally and economically sustainable land use planning. Design of surface and subsurface drainage systems for rural land. Design of sprinkler and trickle irrigation systems.
ENGG*4370 Urban Water Systems Design Fall Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2230, ENGG*3650	Estimation of water quantity and quality needed for urban water supply and drainage. Design of water supply, pumping systems, pipe networks and distributed storage reservoirs from analysis of steady and transient, pressurized and free surface flow. Rates of generation of flows and pollutants to sanitary and storm sewers, design of buried pipe and open channel drainage systems with structures for flow and pollution control. Modeling of water systems for sustainable urban development.
ENGG*4380 Bioreactor Design Fall Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the BIOE specialization in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3160 or (ENGG*3010, ENGG*4010)	Topics in this course include: modeling and design of batch and continuous bioreactors based on biological growth kinetics and mass balances; gas-liquid mass transfer for aeration and agitation; instrumentation; and control.
ENGG*4390 Bio-instrumentation Design Fall Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the BIOE and BME specializations in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3450	Theory and selection criteria of devices used in measurements in biological systems; design of complete measurement systems including transducers, signal conditioning and recording components; error analysis. Differences between measurements in biological and physical systems.
ENGG*4400 Biomechanical Engineering Design Winter Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): 6.00 ENGG credits including ENGG*3150	This course covers concept development, design, modeling, manufacture and testing of biomechanical devices including athletic equipment, assistive devices, medical implants and tools. Other topics include the biomechanical factors influencing design, regulatory issues, current development trends, and the possible future direction of design and technology.
ENGG*4420 Real-time Systems Design Fall Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2400, ENGG*3640	This course teaches real-time concepts from a system and computing perspective covering topics related to four major areas. Real-time computer control and system modeling area teaches basic real-time design and system modeling concepts for hard and soft real-time computer control applications. Real-time Operating Systems (RTOS) area introduces common kernel objects and inter-task communication and synchronization using examples from current commercial RTOS. Topics in the area of scheduling present theoretical results related to uniprocessor and multiprocessor scheduling algorithms and topics in the area of fault tolerance and reliability present current techniques at software and hardware level.
ENGG*4430 Neuro-Fuzzy and Soft Computing Systems Winter Only (LEC: 3) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3410	This course covers the basics of fuzzy systems, neural networks and neuro-fuzzy systems. The main focus is the concepts and algorithms of fuzzy sets, rules, and reasoning, as well as neural network structures, supervised learning and unsupervised learning of neural networks, and hybrid neuro-fuzzy systems. The applications of neural networks and fuzzy systems to control systems, signal processing, systems modeling and systems identification will be presented through examples.
ENGG*4440 Computational Fluid Dynamics Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2230, ENGG*3370	Computational methods for fluid mechanics form the core of the course. The concepts of modelling are covered including numerical analysis, the governing equations for fluid problems and finite discretization methods. Mathematical models for turbulence are presented and the student is exposed to the use of commercial software for the solution of complex problems in fluid dynamics.
ENGG*4450 Large-Scale Software Architecture  Engineering Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): (CIS*2420 or CIS*2520), ENGG*2100	This course introduces the students to the analysis, synthesis and design of large-scale software systems at the architectural level. This is in contrast to the algorithmic and data structure viewpoint of most software systems. Large-scale software systems are complex, execute on many processors, under different operating systems, use a particular or many language(s) of implementation, and typically rely on system layers, network connectivity, messaging and data management and hardware interfacing. The material covered includes architectural styles, case studies, architectural design techniques, formal models, specifications and architectural design tools. The laboratory sessions will expose the students to analyzing and redesigning an existing large-scale software system.
ENGG*4460 Robotic Systems Fall Only (LEC: 3, LAB: 3) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*1500, ENGG*2400	This course covers robot technology fundamentals, mathematical representation of kinematics, planning and execution of robot trajectories, introduction to robot languages, programming of robotic systems, different application domains for robots (e.g. assembly, manufacturing, medical, services, etc.), and robot sensors. The goal of this course is to provide students with a comprehensive background, approaches and skills to apply robotics technology to real world engineering applications and problems.
ENGG*4470 Finite Element Analysis Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2160, MATH*2130, MATH*2270	The theory of finite element analysis is presented including element derivation and solution procedures. Students use a finite element package to solve problems based on static and dynamic applications in mechanical systems. Examples are chosen from classical machines as well as biological systems.
ENGG*4480 Advanced Mechatronic Systems Design Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3490	The course is a follow up to the introductory mechatronics course and aims at covering advanced topics that are necessary in developing mechatronic systems. Topics include: signal conditioning and filtering for mechatronics system including advanced filters such as Kalman filters; important/advanced electronic circuits for mechatronics systems; microcontroller interfacing and programming; design and development of motion control for mechatronics systems including PLC; introduction of integrated complex mechatronics systems: concept, structure, and applications. Through a design project, students will use and apply these concepts in building a complex mechatronics system with advanced features.
ENGG*4490 Sampled Data Control Design Winter Only (LEC: 3, LAB: 2) [0.75]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the ESC specialization in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3390, ENGG*3410	This course introduces the theory and techniques required to analyze, design, and implement sampled data controllers on real, continuous time systems. Topics include sampling, system identification and modeling, delay, state-space and frequency domain approaches to control, emulation methods, and direct z-domain methods. In the course project, students will apply the techniques discussed in class to design and implement a computer based controller for a real physical system, then compare the actual results obtained to the expected theoretical results and discuss sources of error and limitations of their approach.
ENGG*4510 Assessment and Management of Risk Winter Only (LEC: 3, LAB: 1) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): STAT*2040 or STAT*2120	This course will develop the bases by which risk to human health and the environment can be assessed. Issues of hazardous waste cleanups, permitting of water and air discharges, food safety, flood protection, as examples, are addressed. The course also examines how decisions are made to manage the risks to acceptable levels.
ENGG*4540 Advanced Computer Architecture Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3380	This course covers topics such as: basics of pipeline structure, advanced pipelining and instruction level parallelism, multiprocessor and thread-level parallelism, memory-hierarchy design (main memory, virtual memory, caches), storage systems, interconnection networks, multiprocessor architectures (centralized and distributed). Advanced topics related to new emerging computer architectures will also be presented. The emphasis in each topic is on fundamental limitations and the trade-offs involved in designing computer systems, including memory and processing bandwidth, network bandwidth and latency, synchronization, and storage system bandwidth and latency.
ENGG*4550 VLSI Digital Design Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to the CENG specialization in the BENG and BENG:C programs. See department for more information. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2410, ENGG*2450, ENGG*3450	This course introduces the students to the analysis, synthesis and design of Very Large Scale integration (VLSI) digital circuits and implementing them in silicon. The topics of this course are presented at three levels of design abstraction. At device level: MOS diode; MOS (FET) transistor; interconnect wire. At circuit level: CMOS inverter; static CMOS gates (NAND, NOR); dynamic gates (NAND, NOR); static latches and registers; dynamic latches and registers; pipelining principles and circuit styles; BICMOS logic circuits. At system level; implementation strategies for digital ICs; interconnect at system level; timing issues in digital circuits (clock structures); the adder; the multiplier; the shifter; memory design and array structure; low power design circuits and architectures.
ENGG*4560 Embedded System Design Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3380 or ENGG*3640	This course introduces the basic principles of embedded system design. It utilizes advanced hardware/software abstractions to help design complex systems. Topics include: design of embedded CUPs; embedded architecture cores; system-on-chip designs and integration using processor cores and dedicated core modules; embedded computing platforms; embedded programming design and analysis; processes and operating systems; networks for embedded systems; distributed embedded architectures; design examples that target robotics, automobile, and communication systems.
ENGG*4580 Sustainable Energy Systems Design Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3080, ENGG*3370, ENGG*3430	The analysis and design of sustainable energy systems are presented in this course. Techniques considered include generation of alternative designs to satisfy a problem definition; evaluation of alternative designs; application of modeling simulations and cost analyses.
ENGG*4590 Sensors Instrumentation and Measurements Fall Only (LEC: 3, LAB: 3) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to students in the BENG.MTE and BENG.MTE:C programs.	Prerequisite(s): ENGG*2450, STAT*2120	This course explores the fundamentals of sensing and instrumentation technology, including measurements, mechanisms, and principles of instrumentation with applications to electrical and mechanical systems. The course will discuss transducers, signal conditioning, data acquisition systems and will include examples of measurement of physical quantities such as temperature, force, torque, position, speed, acceleration, pressure, humidity, flow and liquid level.
ENGG*4660 Medical Image Processing Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3390	This course covers the fundamentals of medical image processing. Image processing topics covered include: fundamentals of resolution and quantization; linear systems as applied to multi-dimensional continuous and discrete systems; point operations such as contrast enhancement and histogram equalization; geometric operations for distortion correction, including interpolation methods; linear filtering in both the spatial and spatial-frequency domains; and image restoration and inverse filtering. Image segmentation is covered in the framework of pattern recognition using single and multiple dimensional features, and includes the fundamental Bayes classifier as well as machine learning methods for both supervised and unsupervised learning.
ENGG*4680 Multidisciplinary Engineering Design Winter Only (LEC: 2, LAB: 4) [0.75]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3100	This is a general design course for students registered in the B. Eng. major in Biomedical Engineering and who do not wish to develop a strong specialization in one of the specific areas of the program. Students work in groups to develop a general Biomedical engineering design. Special attention is paid to the sustainability of the design, its economic feasibility and overall efficiency.
ENGG*4690 Mechatronic Systems Design II Winter Only (LEC: 3, LAB: 3) [0.75]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to students in the BENG.MTE and BENG.MTE:C programs. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3040	This course covers advanced topics in the design of mechatronics systems. The course is based on a case studies approach. These include design of microelectromechanical accelerometers, micro positioning systems, and smart material based electrical actuators.
ENGG*4740 Computational Methods for Data Analysis Fall Only (LEC: 5) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to students in the BENG.MTE and BENG.MTE:C programs. Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2910, MATH*2130, STAT*2120	This survey course introduces proven, stable computational methods for data analysis of large datasets in engineering. Algorithms to wrangle and analyze engineering data (time history, field variables), images, and motion will be introduced. Algorithms will be implemented in a computing environment and a case study in engineering data analysis will be carried out.
ENGG*4760 Biological Wastewater Treatment Design Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3590	The course applies design principles for a variety of biological treatment systems for both municipal and industrial wastewater. This involves the design of suspended growth and attached growth processes, anaerobic digestion, sludge processing and utilization, water reuse and resource recovery facilities.
ENGG*4770 Physical and Chemical Water and  Wastewater Treatment Design Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*3590	This course focuses on the theory, application, and design principles of physical and chemical operations and processes for the treatment of water and wastewater. This involves the design of physical and chemical unit operations, and evaluating the optimum combination to satisfy the given design constraints and criteria. The optimum designs integrate engineering science, basic science, economics, and health and safety for workers and the public.
ENGG*4810 Control of Atmospheric Particulates Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): 6.00 credits of ENGG courses, ENGG*2230, MATH*2130, (ENGG*2450 or PHYS*1010)	The focus of this course is understanding, analyzing and designing conventional and innovative atmospheric particulate control systems. The properties and transport of atmospheric particulates, and the principles of cyclones, filtration and electrostatic precipitation will be taught through theory, simulations, experiments and a design project.
ENGG*4820 Atmospheric Emission Control:  Combustion Systems Winter Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Non-BENG students may take a maximum of 4.00 ENGG credits.	Prerequisite(s): ENGG*2560, ENGG*3260	Combustion systems are an essential part of our society, however, they are also the dominant source of atmospheric pollutants. This course will focus on investigation of combustion systems for the purpose of reducing atmospheric emissions.
ENGL*1030 Effective Writing Summer, Fall, and Winter (LEC: 3) [0.50]	NONE	NONE	This course is designed primarily for those not pursuing a specialization in English and focuses on the development of the skills for effective writing. Topics will include sentence and paragraph structure, essay organization, and the implementation of convincing written arguments. Students will apply these skills to the completion of several written assignments, culminating in a short work of non-fiction prose.
ENGL*1080 Foundations in Critical Reading and  Writing Fall and Winter (LEC: 3) [0.50]	Restriction(s): This is a priority access course. Enrolment in the fall semester may be restricted to students registered in the English major, minor, area of concentration, Creative Writing minor, or in semesters one or two of the BA or BAS program.	NONE	The creative use of language in literature, cinema, and related media enables us to explore the issues that have mobilized communities in different eras and English-speaking regions of the globe. Using case studies on issues that resonate from the past into the present, students will employ close reading methods to investigate how language gives form to ideas, and use academic writing as a vehicle for conveying an argument about these ideas. Reading- and writing-intensive course.
ENGL*1200 Reading the Contemporary World Fall and Winter (LEC: 3) [0.50]	NONE	NONE	This course, which is designed primarily for those not planning a specialization in English, introduces students to literary texts and persuasive forms of writing, bringing to the fore some of the links between language and contemporary social and political issues. Course materials will represent diversity in terms of national origins, gender, race, and class. The course emphasizes the use of figurative language as well as the development of students' critical reading and writing skills. Students planning to major or minor or pursue an area of concentration in English must take ENGL*1080 and ENGL*2080, but may also take ENGL*1200 and count it as an elective lecture.
ENGL*1410 Major Writers Unspecified (LEC: 3) [0.50]	NONE	NONE	This course, which is designed primarily for those not planning a specialization in English, offers an introduction to the study of literature through a chronological consideration of works by selected major authors from the Middle Ages to the present century, in relation to their social, intellectual and literary backgrounds. The course emphasizes the use of figurative language as well as the development of students' critical reading and writing skills. Students planning to major or minor or pursue an area of concentration in English must take ENGL*1080 and ENGL*2080, but may also take ENGL*1410.
ENGL*1500 Medicine and Literature Winter Only (LEC: 3) [0.50]	NONE	NONE	This course explores the representational and cultural practices concerning health care and the body. Students will examine how literary texts represent, interpret, and critique the cultures of biomedical science, the clinic, and the hospital. Areas of interest include disease, illness, health, disability, and psychological and physiological trauma.
